id,573
photo,131403.jpg
web_name,Healey
team_code,97
status,a
code,131403
first_name,Rhys
second_name,Healey
squad_number,32
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,0.4
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.2
transfers_out,5419
transfers_in,10700
transfers_out_event,62
transfers_in_event,63
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,1
points_per_game,1.0
ep_this,-0.3
ep_next,-0.3
special,False
minutes,31
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,4
influence,1.2
creativity,0.6
threat,2.0
ict_index,0.4
ea_index,0
element_type,4
team,5
