id,256
photo,175592.jpg
web_name,Keita
team_code,14
status,a
code,175592
first_name,Naby
second_name,Keita
squad_number,8
news,
now_cost,71
news_added,2019-02-26T16:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,5.9
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.6
form,1.2
transfers_out,281321
transfers_in,76532
transfers_out_event,65
transfers_in_event,20
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,42
event_points,0
points_per_game,2.1
ep_this,2.2
ep_next,2.2
special,False
minutes,1060
goals_scored,0
assists,1
clean_sheets,7
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,154
influence,172.6
creativity,156.6
threat,284.0
ict_index,61.4
ea_index,0
element_type,3
team,12
