id,312
photo,101148.jpg
web_name,Lascelles
team_code,4
status,a
code,101148
first_name,Jamaal
second_name,Lascelles
squad_number,6
news,
now_cost,47
news_added,2019-01-16T00:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,16.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,4.0
form,3.2
transfers_out,347830
transfers_in,146748
transfers_out_event,551
transfers_in_event,424
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,77
event_points,1
points_per_game,3.1
ep_this,3.2
ep_next,3.2
special,False
minutes,2160
goals_scored,0
assists,1
clean_sheets,8
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,7
bps,425
influence,506.6
creativity,45.8
threat,90.0
ict_index,64.5
ea_index,0
element_type,2
team,15
